         37492 function calls (37385 primitive calls) in 0.301 seconds
   Ordered by: internal time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 argparse.py:963(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2110(consume_positionals)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        5    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        3    0.000    0.000    0.000    0.000 :0(fileno)
        5    0.000    0.000    0.000    0.000 :0(getrandbits)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        4    0.000    0.000    0.000    0.000 :0(intern)
        2    0.000    0.000    0.000    0.000 :0(fromkeys)
        4    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
        3    0.000    0.000    0.000    0.000 :0(index)
        2    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 argparse.py:2569(_get_value)
        5    0.000    0.000    0.000    0.000 :0(add)
        1    0.000    0.000    0.000    0.000 main.py:62(create_cube)
        4    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        2    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        3    0.000    0.000    0.000    0.000 argparse.py:601(_metavar_formatter)
        3    0.000    0.000    0.000    0.000 :0(decode)
        1    0.000    0.000    0.000    0.000 argparse.py:1907(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1143(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:218(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        4    0.000    0.000    0.000    0.000 :0(__contains__)
        3    0.000    0.000    0.000    0.000 argparse.py:1646(_check_conflict)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        3    0.000    0.000    0.000    0.000 :0(lstrip)
        1    0.000    0.000    0.000    0.000 argparse.py:2378(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 :0(translate)
        3    0.000    0.000    0.000    0.000 enum.py:1292(value)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        3    0.000    0.000    0.000    0.000 :0(bit_length)
        2    0.000    0.000    0.000    0.000 argparse.py:2279(_parse_optional)
        2    0.000    0.000    0.000    0.000 :0(update)
        1    0.000    0.000    0.000    0.000 argparse.py:2263(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        2    0.000    0.000    0.000    0.000 :0(globals)
        1    0.000    0.000    0.000    0.000 argparse.py:992(__call__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 shutil.py:83(RegistryError)
        1    0.000    0.000    0.000    0.000 argparse.py:1899(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 shutil.py:87(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 :0(_getframemodulename)
        1    0.000    0.000    0.000    0.000 :0(group)
        1    0.000    0.000    0.000    0.000 shutil.py:80(ReadError)
        1    0.000    0.000    0.000    0.000 argparse.py:2594(_check_value)
        1    0.000    0.000    0.000    0.000 shutil.py:67(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:70(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:73(SpecialFileError)
        1    0.000    0.000    0.000    0.000 argparse.py:1361(__init__)
        1    0.000    0.000    0.000    0.000 :0(iter)
        1    0.000    0.000    0.000    0.000 shutil.py:77(ExecError)
        0    0.000             0.000          profile:0(profiler)
